,Review_text,Nouns
95,"Battery life is poor. Very dissatisfied customer. One plus 3t was good product. But, there quality have degraded in this product. Only price structure has increased. Go for MI products only. They are best.","battery,life,customer,t,product,quality,product,price,structure,product"
96,It's great,
97,Awesome phone,phone
98,Fine,
99,Excellent mobile,mobile
100,Apart from camera everything is super,"camera,everything"
101,Best in class accept battery backup,"clas,battery,backup"
102,It's a nice product..,product
103,Need wireless charging,charging
104,I'm using oneplus 6 8gb ram & 128gb rom. it wonderful. worth for the money. amezing,"oneplu,gb,ram,money"
105,Everything is perfect but phone is hearing if use it for long time continiously😑,"everything,phone,time"
106,One+ u rock. & The service from AMAZON is CHERRY ON TOP. 💯% marks to the product & the service also. Go guys keep buying ONE+6.,"rock,service,mark,product,service,guy"
107,Awesome,
108,4k video is awsome...,video
109,Good,
110,It is a very good smart phone . I like the most is the fast charging feature of this mobile phone . Its picture quality is excellent . Sound quality is also very good . Overall it is the best smart phone .,"phone,feature,phone,picture,quality,quality,phone"
111,Sound,sound
112,"Awesome phone
 I used all top brands. Durability and reliability of OnePlus is unbeatable
Very good battery back up. I realized battery capacity is not only the factor but the software optimization. Thanks to oxygen OS.Camera needs to improve especially front facing camera at low.light.
Forgot to Say about dash charging... Amazing experience","phone,brand,durability,reliability,battery,back,battery,capacity,factor,software,optimization,thank,oxygen,front,camera,dash,charging,experience"
113,Four stars all around and 1 star for the brand loyalty.,"star,brand,loyalty"
114,Didn't expect the quality to be this good.. it's been 7months I still feel like it's new. Worth every penny.,"quality,penny"
115,Very good,
116,Value for money,"value,money"
117,All good,
118,"Just speed speed speed..can't complain here
Power is ok
Stock like rom is flawless and quite powerful
Pubg and heavy games are nice to work but they take so much power that no phone can. Last full day
Power management is good too
It was gift so can't tell much about camera quality with compare to flagships..","speed,speed,power,rom,pubg,game,power,phone,can,day,management,gift,camera,quality,compare,flagship"
119,Good,
120,Good phone,phone
121,"After 4 months of use slight down in battery performance
Camera is good but not upto the mark as they said in YouTube channels
Over heating can be observed some times","month,use,battery,performance,mark,channel,heating,time"
122,"I shifted from iphone X to oneplus 6, & yes definitely this is really good performing device with great specs. i am already in love with this phone. awesome built quality & i really love its time to time updates. I also use Huawei Mate 10 Pro which is having higher specs and great phone, but i wanted other phone with my budget against shifting from iphone to android & i opted for oneplus 6, but now my view for this phone is not just budget but a class apart against iphones.","iphone,x,oneplu,device,spec,love,phone,quality,time,time,update,spec,phone,phone,budget,iphone,oneplu,view,phone,budget,clas,iphone"
123,really like using it. Amazon delivery was super good.,delivery
124,Amazing experience with this product.... Amazing quality..amazing feature.  And filled with lots of speed and fun.,"experience,product,quality,feature,lot,speed,fun"
125,Just amazing ❤️,
126,perfect phone for me at this range,"phone,range"
127,Best,
128,Bettery life not longer,"bettery,life"
129,"This is what I got in the box, a used back cover. Which is very bad. I didn't expect from it.","box,back,cover"
130,Everything is best and camera is the best than other brands,"everything,camera,brand"
131,"Got it in Rs. 26k and loved it, nice phone to play PUBG on high graphics","r,phone,pubg,graphic"
132,"NOT THAT GOOD,GOOD FOR THOSE WHO ARE BRAND CONSCIOUS",brand
133,Thanks,thank
134,Great,
135,Battery life should be better,"battery,life"
136,Fantastic,
137,"Sounds quality is nice👌.....
And camera quality is awesome","quality,camera,quality"
138,Mobile is very good go for it  I would like to get my bill again as I lost my bill ...plz help me .,"mobile,bill,bill"
139,Nice,
140,Nice phone,phone
141,Good,
142,"Camera is Awesome
Baterry life is Good
Performance is Awesome
The Con is that we are getting many bugs in the New Updates released even though the bugs are corrected in the upcoming patches it is taking more time","life,bug,bug,patch,time"
143,Always best,
144,Super cool,
145,Speaker problem. Sometimes it will not provide sound from videos. Have to restart again. Pictures are getting blurred while taking it from WhatsApp.,"speaker,problem,sound,video,picture"
146,Awsm phone ever...,phone
147,Good,
148,Superb,
149,After using it for 6 months I started missing my Redmi note 3 my old phone. Redmi note 3 even after 3 years has better battery life than new one plus6.,"month,note,phone,year,battery,life"
150,Awesome set,set
151,Best product ever,product
152,Loved it,
153,No,
154,Worth buying product,product
155,Battery Life very bad,
156,Excellent performance ... Much satisfied will all the features ... Quick updates ...,"performance,feature,update"
157,Awesome phone at awesome price.,"phone,price"
158,Once you use this phone You will never think about any other phone to buy...,"phone,phone"
159,Mirror back glass broken on its own in approx 5 months inside the cover.. also without falling down.. camera only selfie mode is good. Back camera is not that good.. processor is fine and compute is fine but how can such big company have such a big design flaw and back glass is like breaking for lot of people.,"back,glas,month,cover,camera,mode,camera,processor,company,design,flaw,back,glas,lot,person"
160,Awesome phone.,phone
161,"What a picture quality,, Awesome! Overall the phone is in budget having all the features.","picture,quality,phone,budget,feature"
162,"Excellent premium mobile phone, picture quality excellent, no tension for charging.","premium,phone,picture,quality,tension"
163,Worth,
164,Good product.,product
165,Great phone in under 30k...dash charging was osome...,"phone,dash,charging"
166,Nice phone and nice performance,"phone,performance"
167,Since I bought during the sale it cost  me around 27000/- and i think its worth it. On time delivery so i guess this all about the product and delivery.,"sale,worth,time,delivery,product,delivery"
168,"Pros :
amazing 6.3inch super amoled display(stopped watching movies in laptop)😍
Sd845 (became a pubg pro)😎
Dash charging (no worries about battery capacity)😏
Oxygen OS (pure android experience)😌
Rear camera(u will get a disguise of a professional cameraman status)😅
Builtquality (next to samsung n apple)💪
Cons
No wireless charging (doesnt matter)
No Quad hd display (previously i was a samsung s7 edge user)
Ugly notch (apple made tats y hate it)
The best smartphone of 2018 is definitely ONEPLUS6","pro,movie,laptop,pubg,pro,charging,worry,battery,capacity,experience,disguise,cameraman,status,apple,con,charging,hd,display,edge,user,notch,apple,tat,smartphone"
169,Good,
170,Super,
171,Great phone,phone
172,superb,
173,The king it is...,king
174,Very nice phone,phone
175,Very good product,product
176,Nice photoes click,photo
177,"Overall it is a good phone, I am new to Oneplus and felt very much satisfied. Camera is awesome and I never felt any lag in any functionality or app. Only problem is battery, if i use camera for clicking pictures it gets discharge in 4-5 hrs. I am not even talking about videos. Even at normal usases battery will last for hardly 7-8 hrs.","phone,camera,lag,functionality,app,problem,battery,camera,picture,discharge,hr,video,usase,battery,hr"
178,Good product,product
179,"It has everything, what you think in your mind about smartphone. Go for it,,,, lovelyyyyy mobile 📱, no heating problem.","everything,mind,smartphone,mobile,heating,problem"
180,Battery poor quality and camera is poor quality also cost of rs is highly  approximately 25000 to 30000 /8 GB ram 120 gb internal,"battery,quality,camera,quality,cost,r"
181,Screen resolution and camera quality is very impressive...sound quality is also satisfactory but not very loud and battery life is also good ..it normally lasts for one day...and in terms of speed ....there is no competition.,"screen,resolution,camera,quality,quality,battery,life,day,term,speed,competition"
182,"Pretty good phone! Also has headphone jack, which is not present 6T onwards. Hence, I would say, OnePlus6 is the last good phone of OnePlus.","phone,headphone,jack,t,phone"
183,"Product is amazing
Worst delivery from Amazon","product,delivery"
184,Great product.,product
185,Battery life rating 5/10,"battery,life,rating"
186,best product,product
187,"Best for display quality,sound and better performance","display,quality,performance"
188,"My review
Working fine with games best in game mode.
Better customize OS not super.
Camera is good.
other function work with excellent.
Pros.
Original Screen Guard not available.
Call recorded audio playing in music app ( Such ridicules).
over weight.","review,game,game,mode,camera,function,call,audio,playing,music,app,ridicule,weight"
189,"Which one is the best amongst the three I.e, 6gb ram with 128 internal memory/8gb ram with 128 internal memory/8 GB RAM with 256 internal memory.....???","one,ram,memory"
190,Nice product,product
191,Simply best phone... Love it,phone
192,Battery of my phone discharge in 10hours only,"battery,phone,discharge"
193,Im using this phone past from 3months body and display damaged no warranty also it's to sensitive back cover of the phone looks like glass money waste service cost also expensive really wasted my money,"phone,past,body,display,warranty,back,cover,phone,look,glas,money,waste,service,cost,money"
194,I am facing problem with microphone. The other talking with me is hearing echo sounds. That's irritating.,"problem,microphone,echo,sound"
195,"Been using it for 3 months now. Has given me great battery life. I am not much of a gamer, but even with decent amount of video viewing it gives me an average of 14-16 hours of battery.
Camera is great. Fast face unlock and smooth transition between different apps.","month,battery,life,gamer,amount,video,average,hour,battery,camera,face,unlock,transition,app"
196,good & Worth,
197,"dont buy this phone ...... today(21/01/19) while charging the mobile i saw small flame from charging point of phone. Instantly i removed the charger and saw that charging cable & mobile charge point got burnt. it may also have resulted bursting if i was not present. purchased from amazon on 12/09/18.
most interesting is that customer care of one plus six not entertaining me.","phone,mobile,flame,point,phone,charger,cable,charge,point,amazon,customer,care"
198,Suer,suer
199,Like,
200,Good product,product
201,Worth it,
202,Excellent,
203,Awesome,
204,Nice,
205,"Love this phone. ..  One plus create great product. Good processing, Ram and screen. Baught 8-128 modal of One plus 6 at Amazon sale.","phone,product,processing,screen,modal,sale"
206,Value for money.,"value,money"
207,Very wall,wall
208,"There is no likes, or dis-likes for this one plus , there is only love b/w us ... 😍😍🥰🥰🥰🥰","like,di,like,plu,love,b"
209,Really good,
210,Its good,
211,Awasome,
212,Sexy phone from aspects.,"phone,aspect"
213,Nice product,product
214,Great device,device
215,Worth the money. In every aspect its the best.,"money,aspect"
216,Good Phone,
217,Nothing to dislike,nothing
218,Just great.. value for money..super sonic,"value,money,sonic"
219,"Its really One of the best Mobile available in market and really worth of money.
Gives stylish look and also provide decent battery backup..","mobile,market,money,look,battery,backup"
220,"Very good phone. mainly because, no hanging and no heating problem. Speed is excellent. Camera quality not too good, but fine","phone,hanging,heating,problem,speed,camera,quality"
221,Best Phone at present,"phone,present"
222,Good mobile I don't think battery can lost longer so much for crazy users,"mobile,battery,user"
223,Superb phone  but price alot,"phone,price,alot"
224,Some applications hangs,application
225,Camera quality in low light is below average.,"camera,quality,light"
226,The phone has more than enough RAM. It charges in 30 minutes flat (0 to 100 percent). The camera is fantastic and it has a great deal of storage available. I got it at a fantastic price on Amazon.,"phone,ram,minute,percent,camera,deal,storage,price"
227,It's a good smartphone. Battery life is not very good.,"smartphone,battery,life"
228,Lovely phone,phone
229,The best I used till now awesome😍 camera sound and battery back up not even a hang till now used for 6 months best of the best,"sound,battery,back,hang,month"
230,"This is a great phone, packed with latest processor and gpu. It is very light weight, slim and sturdy. Camera quality is really nice, battery life is also good and sound quality is pretty damn great.","phone,processor,gpu,weight,camera,quality,battery,life,quality"
231,Battery life,"battery,life"
232,Awsome Phone,
233,The oneplus fam is great with everything!,"oneplu,fam,everything"
234,Awesome product. Superb Camery quality. Can be easily compared with iphone.,"product,quality,iphone"
235,Wow the only word..,word
236,"After about 6 months of usage, I am finally ready to share my experience of using this device. Build quality is totally amazing. Camera is good and the processor (Snapdragon 845) is the best processor available in the market today. As always, Dash Charge technology of OnePlus is supremely fast and can provide a day's worth of charge in just 30 minutes (literally). Battery backup is awesome even if you are a heavy user and does not disappoint you at any point in time. Display quality is also excellent and does it's job perfectly.
In the end, everything about this phone is premium and I am very much satisfied with my purchase.","month,usage,experience,device,quality,camera,processor,processor,market,today,technology,day,worth,charge,minute,battery,backup,user,point,time,display,quality,job,end,everything,phone,premium,purchase"
237,just one drawback is oneplus 6t came too soon,"drawback,oneplu,t"
238,After some time camera started malfunctioning.,"time,camera"
239,"Amazing speed , super battery backup, camera superb, totally best of the best","speed,battery,backup,camera,superb"
240,Awesome,
241,"It's been 3 months since I'm using this... Was about to buy an iPhone, but my better half convinced me otherwise... Love it .. the phone is just amazing... It's got 8gb ram, really fast... It's efficient...I don't regret paying 38k...  Haven't found a single complaint on this...","month,half,phone,gb,ram,complaint"
242,"dont know what happened but the camera getting blurry images completely disappointed, & phone calls are pretty bad, mobile internet is very slow. may be i have received a defective phone.","camera,image,phone,call,internet,phone"
243,Good product,product
244,Good,
245,Good,
246,Happy,
247,It's great but the price is high,price
248,Video games night camera good,"video,game,night,camera,good"
249,"Picture quality good,sound ok but battery life worst..","picture,quality,battery,life"
250,"I bought it at 27k and its a best deal. No complaint. Totally satisfied.
Battery drainage is quick but compansated by dash charge.","deal,complaint,battery,drainage,dash,charge"
251,Nice phone.,phone
252,One of the best phone i ever seen❤️,phone
253,"Everything is good except face recognition.
It gets unlocked against anyone's face.","everything,face,recognition,anyone,face"
254,"One of the best phone I have used till date. Happy with the deal, got it during Great Indian sale.","phone,date,deal,sale"
255,Battery drains very fast while camera is operated or vdo’s are played,"battery,camera,vdo"
256,Good,
257,Best smartphone ever,smartphone
258,One of the most stable hardware heavy phones I've ever used.,"hardware,phone"
259,Nice one,
260,My phone,phone
261,Quality quality quality.. value for money for sure,"quality,quality,value,money"
262,Great phone with awesome rear camera .. but disappointed with it's front camera focusing and battery life ! :/,"phone,rear,camera,front,camera,focusing,battery,life"
263,Best phone i have ever bought.. awesome,phone
264,Everything perfect,everything
265,Touch and face id don't respond many times .even touch is not that responsive . Apps can hang .,"touch,face,time,touch,app"
266,Good,
267,"Amazing phone, one of the best I had since using smartphones. Battery backup isn't that great though which needs improvement....","phone,smartphone,battery,backup,improvement"
268,It was a awsome phone. Display quality Class.,"phone,display,quality"
269,"the product is under 1 year warranty ,need to change  as damaged,kindly do the needful","product,year,warranty"
270,Very good product,product
271,awesome,
272,Paisa wasool,wasool
273,Best mobile,mobile
274,I want to return this phone because it is not working please contact me,phone
275,Nice,
276,Oneplus 6 is good smartphone with a few drawbacks. Display isn't that great compared to the Oneplus 3 and battery life is mediocre,"smartphone,drawback,display,battery,life"
277,I like safety quality of product picture quality is best sound quality also,"safety,quality,product,picture,quality,quality"
278,Super,
279,Amazing speed amazing camera and superb feature everything is best with one plus,"speed,camera,feature,everything"
280,It's a great phone,phone
281,Quality is good even after I had used this mobile for last 3 month there is no problem packaging is good and overall rating for the Mobile is 4.5/5,"quality,mobile,month,problem,packaging,rating"
282,NYC look battery life is good and picture quality is too good,"battery,life,picture,quality"
283,Good,
284,Good phone at good price,"phone,price"
285,Everything great about the phone,"everything,phone"
286,"The picture quality is extremely good and sound quality is super, battery life is good with 3300mah and fine, the overall performance is mind blowing","picture,quality,quality,battery,life,performance,mind"
287,Superb smartphone,smartphone
288,Back glass broke  after fall on carpet from coffee table just 1and 1/2 feet hieght very low quality back glass,"glas,fall,carpet,coffee,table,foot,quality,back,glas"
289,I like picture quality and photos.,"picture,quality,photo"
290,Best Mobile ever I used,mobile
291,"I am not happy with its battery life, Asus had given me better results in battery life. Picture quality is good but not as they advertise on instagram.","battery,life,result,battery,life,picture,quality,instagram"
292,"I am loving one plus 6 mobile .. Guys go head and purchase one plus mobile... The speed , picture quality and 4k video recording is awesome ...","mobile,guy,head,mobile,speed,picture,quality,video,recording"
293,Amazing,
294,All good,
295,"Bought this for my friend a while back for about 35k (on offer)
Pros
Best phone for gaming, pubg runs as smooth as it can get.
Excellent for photography, low light performance is awesome.
No such thing as lag or hang
Good sound quality
Feels good in hand
Excellent 4k video .
Black colour is just awesome.
I was confused between the poco f1 and the 1 plus 6, and ended up buying one plus after lot of research.
(No regrets)
The 4k video mode is just perfect
Slow motion mode is decent.
Summary
Best phone if u are a hardcore gamer and a photography lover.","friend,while,back,offer,phone,gaming,pubg,photography,performance,thing,quality,hand,video,colour,lot,research,regret,video,mode,motion,mode,phone,hardcore,gamer,photography,lover"
296,Best,
297,"Bought it for 30k, in this price best phone","price,phone"
298,Best on market. Better than OnePlus 6T.,market
299,I forgot my DSLR,dslr
300,Best phone ever. Great picture quality and battery life. Could do better in sound.,"phone,picture,quality,battery,life,sound"
301,Excellent in all respects ....,respect
302,Awesome,
303,This thing just happened last month. My phone fell down flat from a height of around 4 foot on floor and the display got cracked and it costed me 8K for the repair as it was a physical damage which doesn't count in the warranty. The saddest part was the tempered glass fixed on the screen was all safe but the original screen got damaged. Gorilla glass ? Really ?,"thing,month,phone,height,foot,floor,display,k,repair,damage,warranty,part,glas,screen,screen,glas"
304,Best mobile,mobile
305,No comment,comment
306,I loved one plus 6.,
307,The best phone I ever had...,phone
308,look like Original Condition,
309,So nice,
310,"Pros::
* Performance
* Camera
* Display Quality
* Build Quality
* Charging Speed
Cons::
* Battery Draining","pro,performance,battery,draining"
311,As we all knows the product is awesome,product
312,Best in updates android pie update was withon the month of launch.,"update,pie,update,month,launch"
313,Good,
314,Amazing phone,phone
315,👍🏻👍👍🏻,
316,Flagship Device,"flagship,device"
317,"One of the top end mobile specs in the market for good price.
Using for last 6 months, didn't see any issues","end,spec,market,price,month,issue"
318,Not bad,
319,Amazing phone in this budget,"phone,budget"
320,I bought one plus 6. 8gb ram 256 gb storage for 39000 at one plus authorized store in Hyderabad a week ago I have bought it. But online the price is high,"gb,storage,store,week,price"
321,Excellent,
322,"Pros
1. Exteremley fast user interface and navigation. No hanging, heating up while using multiple apps.
2. Quick updates from OnePlus. (Pie, Security patches etc)
3. Camera very good. However for night photos one might want to use Google Camera app with Nightsight. Video recording is decent as well in bright light.
4. All heavy games such as Pubg, Asphalt 9 run in high resolution.
5. Sound quality is good but struggles a bit for loudness especially if you have high impedance Earphones.
Cons:
1. No memory card slot
2. No stereo speakers
3. No IP certified for water resistance
4. Battery life is ok. Though charging is fast.
Overall its an excellent phone 4.5/5","user,interface,navigation,hanging,app,update,patch,camera,night,photo,app,video,recording,light,game,run,resolution,quality,bit,loudnes,impedance,con,memory,card,slot,stereo,speaker,water,resistance,battery,life,phone"
323,Great,
324,Awesome,
325,good product,product
326,oNE IN wOrLD!~,
327,Superb performance and never dissapointed. Only thing is oneplua should give time to people to get newer models. 6 and 6T withing 6 months.,"performance,thing,oneplua,time,person,model,withing,month"
328,"No complaints, superb phone to own!","complaint,phone"
329,full paisa wasool,"paisa,wasool"
330,I got this prodyct for arount 27k for that price is is a steal.But for few generations oneplus is charging premium and don't offer that kind of features so oneplus plz change urself othervise competetition will kill you,"prodyct,arount,price,steal,generation,oneplu,premium,kind,feature,othervise,competetition"
331,A one plus product says it all. No need for further reviews.,"product,need,review"
332,Bestest product i got ever,"bestest,product"
333,"Awesome speed, You can install whatever you want without worrying about the speed. I was expecting somewhat more with the camera, but what i got is also satisfying.","speed,speed,camera"
334,Good phone,phone
335,"It's an awesome mobile. Picture quality is too good, sound is just perfect very easy to operate. No hang problem....","mobile,picture,quality,sound,hang,problem"
336,"Picture quality is bad,sound quality is very bad and battery life is good.","picture,quality,quality,battery,life"
337,Bought this mobile. Felt like cheated. Could not hear the ring tone. If anyone calls the lights r just on and no sound. The option to increase the ring tone volume doesn't work. Did lot of things but it just doesn't work.,"mobile,ring,tone,anyone,light,sound,option,ring,tone,volume,lot,thing"
338,I like this fone and i recommend every one who wanna a best fone in this range go for it,"fone,one,fone,range"
339,Good product,product
340,Camera clarity is awesome.battery backup is good,"camera,clarity"
341,Nice product,product
342,Picture Quality,"picture,quality"
343,Fabulous,
344,Could not be more happier. I love this phone.,phone
345,"Ordered thia for a friend. I had unpacked and dis the startup. Gr8 touch, sound quality is gr8, nice picture quality, superb resolution bright screen. Fast enough.. beautiful pictures taken from camera","thia,friend,di,startup,touch,quality,picture,quality,resolution,screen,picture,camera"
346,Good performance,performance
347,"Phone is excellent, gets charged very fast.But losses it's power quickly when playing game like pubg.","phone,loss,power,game,pubg"
348,Good phone,phone
349,Speaker problem pls replace this phone,"speaker,problem,phone"
350,"I AM A FAN OF ONE PLUS.I LIKE EVERYTHING ABOUT THIS PHONE.GOT AT VERY COMPETITIVE PRICE DURING GREAT INDIAN SALE OF AMAZONE.PICTURE QUALITY,SOUND QUALITY AND BATTERY LIFE IS GREAT CONSIDERING MY EXTENSIVE USE.IT IS KING AMOUNG ALL ANDROID DEVICES.","everything,price,sale,device"
351,"It is my love... when I saw the pictures of the phone (Silk White) I instantly fell for it specially for fingerprint scanner is rose gold. Try to buy it from many days and finally it's on my hand. I don't write the specifications n all.... The lot of taarif already out there. The one thing I just want to say, I go with OP6 even OP6T is available and also with so many offers it is better than OP6T. When I pay the almost same amount though I don't get 3.5 headphones jack, the notch (I like it) nd the fingerprint scanner. Only disappointed is the price....wwwhh if I get some offers, Who get they are lucky.","love,picture,phone,fingerprint,scanner,gold,day,hand,specification,lot,taarif,thing,offer,amount,headphone,jack,notch,fingerprint,scanner,price,wwwhh,offer"
352,Best budget,budget
353,"Battery quality is much better than previous version,","battery,quality,version"
