,Review_text,Noun_Phrases
58,"What to review, eveything about this phone is just awesome. Best screen, best camera, best performance and mostly its Color OS. Far better than 6T because having Led notification, headphone jack and lesser price, ofcourse better fingerprint too.","['What', 'this phone', 'Best screen', 'best camera', 'best performance', 'mostly its Color OS', '6T', 'Led notification', 'headphone jack', 'lesser price']"
59,Best in class.,['class']
60,Quality of camera and phone is osm,"['Quality', 'camera', 'phone', 'osm']"
61,Best techno gadget,['Best techno gadget']
62,Value for money,"['Value', 'money']"
63,"Used both OnePlus 6 and 6T, and no doubt OnePlus 6 still seems like a champion in all a features","['both OnePlus', '6T', 'OnePlus', 'a champion', 'all a features']"
64,"Tag line need for speed is absloutely perfect for this phone, front camera is well but flash light is not available.....","['Tag line', 'speed', 'this phone', 'front camera', 'flash light']"
65,Yes i disapaointant  in this mobile totaly wrost my mony. Hang this mobile. I suggest eveey men not buy this phone.,"['i', 'my mony', 'this mobile', 'I', 'men', 'this phone']"
66,Worth money,['Worth money']
67,So smooth,[]
68,Any comments would be an insult for this kind a phone...,"['Any comments', 'an insult', 'this kind', 'a phone']"
69,Happy & fulfilled all the expectations.. :),['all the expectations']
70,Just wow,[]
71,It's a beast,"['It', 'a beast']"
72,Almost everything is just fine.. it has got only one problem i.e. when u r using dual sim it has got connectivity issue.. its dual volte doesn't work..,"['Almost everything', 'it', 'only one problem', 'dual sim', 'it', 'connectivity issue', 'its dual volte']"
73,Every thing is very good in this phone I am using it from last five months,"['Every thing', 'this phone', 'I', 'it', 'last five months']"
74,Gyf,['Gyf']
75,Good,[]
76,Very good,[]
77,picture quality is superb sound quality is very good....,"['picture quality', 'superb sound quality']"
78,"Used it for 6 months and still not over it.
Excellent look & Feel. Super sound quality and awesome clicks.","['it', '6 months', 'it', 'Excellent look', 'Super sound quality', 'awesome clicks']"
79,Awesome,[]
80,"I always wanted to buy oneplus, right from the launch of its first mobile. Finally managed to buy 1+ 6. And it's worth waiting. Best part of it is camera. Just amazing. I hardly carry my DSLR now while going out.","['I', 'oneplus', 'the launch', 'its first mobile', 'it', 'Best part', 'it', 'camera', 'I', 'my DSLR']"
81,Well good,[]
82,Amazing device,['Amazing device']
83,"Speed beast
Excellent gaming experience
Battery life is not as much we require
Best camera and best display...
Sexiest display","['Speed beast', 'Excellent gaming experience', 'Battery life', 'we', 'Best camera', 'best display', 'Sexiest display']"
84,Speed phone,"['Speed', 'phone']"
85,Very good product go head,['Very good product']
86,Ultimate phone,['Ultimate phone']
87,Pictures are simply awesome.u don't need to buy a separate 📷 until u are a professional photographer,"['Pictures', 'awesome.u', 'a separate 📷', 'u', 'a professional photographer']"
88,Love this❤️,[]
89,Good Product,['Good Product']
90,Superb product,['Superb product']
91,Excellent work done by oneplus.,"['Excellent work', 'oneplus']"
92,Just loving it,['it']
93,"is there any products you deliver is good, or it's your trademark to deliver the worst quality product.???","['any products', 'you', 'it', 'your trademark', 'the worst quality product']"
94,Just go for it,['it']
95,"Battery life is poor. Very dissatisfied customer. One plus 3t was good product. But, there quality have degraded in this product. Only price structure has increased. Go for MI products only. They are best.","['Battery life', 'Very dissatisfied customer', 'One plus 3t', 'good product', 'quality', 'this product', 'Only price structure', 'MI products', 'They']"
96,It's great,['It']
97,Awesome phone,['Awesome phone']
98,Fine,[]
99,Excellent mobile,['Excellent mobile']
100,Apart from camera everything is super,"['camera', 'everything']"
101,Best in class accept battery backup,"['class', 'battery backup']"
102,It's a nice product..,"['It', 'a nice product']"
103,Need wireless charging,['wireless charging']
104,I'm using oneplus 6 8gb ram & 128gb rom. it wonderful. worth for the money. amezing,"['I', 'oneplus 6 8gb ram', 'it', 'the money']"
105,Everything is perfect but phone is hearing if use it for long time continiously😑,"['Everything', 'phone', 'it', 'long time', 'continiously😑']"
106,One+ u rock. & The service from AMAZON is CHERRY ON TOP. 💯% marks to the product & the service also. Go guys keep buying ONE+6.,"['u rock', 'The service', 'AMAZON', 'CHERRY', 'TOP', '%', 'the product', 'the service', 'Go guys', 'ONE+6']"
107,Awesome,[]
108,4k video is awsome...,['4k video']
109,Good,[]
110,It is a very good smart phone . I like the most is the fast charging feature of this mobile phone . Its picture quality is excellent . Sound quality is also very good . Overall it is the best smart phone .,"['It', 'a very good smart phone', 'I', 'the fast charging feature', 'this mobile phone', 'Its picture quality', 'Sound quality', 'it', 'the best smart phone']"
111,Sound,['Sound']
112,"Awesome phone
 I used all top brands. Durability and reliability of OnePlus is unbeatable
Very good battery back up. I realized battery capacity is not only the factor but the software optimization. Thanks to oxygen OS.Camera needs to improve especially front facing camera at low.light.
Forgot to Say about dash charging... Amazing experience","['I', 'all top brands', 'Durability', 'reliability', 'OnePlus', 'unbeatable\nVery good battery', 'I', 'battery capacity', 'not only the factor', 'the software optimization', 'Thanks', 'oxygen OS.Camera', 'especially front facing camera', 'Forgot', 'dash charging', 'Amazing experience']"
113,Four stars all around and 1 star for the brand loyalty.,"['1 star', 'the brand loyalty']"
114,Didn't expect the quality to be this good.. it's been 7months I still feel like it's new. Worth every penny.,"['the quality', 'it', '7months', 'I', 'it']"
115,Very good,[]
116,Value for money,"['Value', 'money']"
117,All good,[]
118,"Just speed speed speed..can't complain here
Power is ok
Stock like rom is flawless and quite powerful
Pubg and heavy games are nice to work but they take so much power that no phone can. Last full day
Power management is good too
It was gift so can't tell much about camera quality with compare to flagships..","['speed speed', 'Power', 'Stock', 'Pubg', 'heavy games', 'they', 'so much power', 'no phone', 'Power management', 'It', 'gift', 'camera quality', 'compare', 'flagships']"
119,Good,[]
120,Good phone,['Good phone']
121,"After 4 months of use slight down in battery performance
Camera is good but not upto the mark as they said in YouTube channels
Over heating can be observed some times","['4 months', 'use', 'battery performance', 'Camera', 'the mark', 'they', 'YouTube channels', 'heating']"
122,"I shifted from iphone X to oneplus 6, & yes definitely this is really good performing device with great specs. i am already in love with this phone. awesome built quality & i really love its time to time updates. I also use Huawei Mate 10 Pro which is having higher specs and great phone, but i wanted other phone with my budget against shifting from iphone to android & i opted for oneplus 6, but now my view for this phone is not just budget but a class apart against iphones.","['I', 'iphone', 'X', 'really good performing device', 'great specs', 'i', 'love', 'this phone', 'awesome built quality', 'i', 'its time', 'time updates', 'I', 'Huawei Mate', '10 Pro', 'higher specs', 'great phone', 'i', 'other phone', 'my budget', 'iphone', 'i', 'oneplus', 'my view', 'this phone', 'budget', 'a class', 'iphones']"
123,really like using it. Amazon delivery was super good.,"['it', 'Amazon delivery']"
124,Amazing experience with this product.... Amazing quality..amazing feature.  And filled with lots of speed and fun.,"['Amazing experience', 'this product', 'Amazing quality..amazing feature', 'lots', 'speed', 'fun']"
125,Just amazing ❤️,"['Just amazing ❤', '️']"
126,perfect phone for me at this range,"['perfect phone', 'me', 'this range']"
127,Best,[]
128,Bettery life not longer,['Bettery life']
129,"This is what I got in the box, a used back cover. Which is very bad. I didn't expect from it.","['what', 'I', 'the box', 'a used back cover', 'I', 'it']"
130,Everything is best and camera is the best than other brands,"['Everything', 'camera', 'other brands']"
131,"Got it in Rs. 26k and loved it, nice phone to play PUBG on high graphics","['it', 'Rs', '26k', 'it', 'nice phone', 'PUBG', 'high graphics']"
132,"NOT THAT GOOD,GOOD FOR THOSE WHO ARE BRAND CONSCIOUS",['WHO']
133,Thanks,['Thanks']
134,Great,[]
135,Battery life should be better,['Battery life']
136,Fantastic,[]
137,"Sounds quality is nice👌.....
And camera quality is awesome","['Sounds quality', 'camera quality']"
138,Mobile is very good go for it  I would like to get my bill again as I lost my bill ...plz help me .,"['Mobile', 'it', 'I', 'my bill', 'I', 'my bill', 'me']"
139,Nice,[]
140,Nice phone,['Nice phone']
141,Good,[]
142,"Camera is Awesome
Baterry life is Good
Performance is Awesome
The Con is that we are getting many bugs in the New Updates released even though the bugs are corrected in the upcoming patches it is taking more time","['Camera', 'Awesome\nBaterry life', 'Good\nPerformance', 'Awesome', 'The Con', 'we', 'many bugs', 'the New Updates', 'the bugs', 'the upcoming patches', 'it', 'more time']"
143,Always best,[]
144,Super cool,[]
145,Speaker problem. Sometimes it will not provide sound from videos. Have to restart again. Pictures are getting blurred while taking it from WhatsApp.,"['Speaker problem', 'it', 'sound', 'videos', 'Pictures', 'it', 'WhatsApp']"
146,Awsm phone ever...,['Awsm phone']
147,Good,[]
148,Superb,[]
149,After using it for 6 months I started missing my Redmi note 3 my old phone. Redmi note 3 even after 3 years has better battery life than new one plus6.,"['it', '6 months', 'I', 'my Redmi note', 'my old phone', 'Redmi', '3 years', 'better battery life', 'new one plus6']"
150,Awesome set,['Awesome set']
151,Best product ever,['Best product']
152,Loved it,['it']
153,No,[]
154,Worth buying product,['Worth buying product']
155,Battery Life very bad,['Battery Life']
156,Excellent performance ... Much satisfied will all the features ... Quick updates ...,"['Excellent performance', 'Much satisfied will all the features', 'Quick updates']"
157,Awesome phone at awesome price.,"['Awesome phone', 'awesome price']"
158,Once you use this phone You will never think about any other phone to buy...,"['you', 'this phone', 'You', 'any other phone']"
159,Mirror back glass broken on its own in approx 5 months inside the cover.. also without falling down.. camera only selfie mode is good. Back camera is not that good.. processor is fine and compute is fine but how can such big company have such a big design flaw and back glass is like breaking for lot of people.,"['Mirror back glass', 'the cover', 'camera only selfie mode', 'Back camera', 'processor', 'such big company', 'such a big design flaw', 'back glass', 'lot', 'people']"
160,Awesome phone.,['Awesome phone']
161,"What a picture quality,, Awesome! Overall the phone is in budget having all the features.","['What a picture quality', 'the phone', 'budget', 'all the features']"
162,"Excellent premium mobile phone, picture quality excellent, no tension for charging.","['Excellent premium mobile phone', 'no tension']"
163,Worth,[]
164,Good product.,['Good product']
165,Great phone in under 30k...dash charging was osome...,"['Great phone', '30k', 'dash charging']"
166,Nice phone and nice performance,['Nice phone and nice performance']
167,Since I bought during the sale it cost  me around 27000/- and i think its worth it. On time delivery so i guess this all about the product and delivery.,"['I', 'the sale', 'it', 'me', 'i', 'time delivery', 'i', 'the product', 'delivery']"
168,"Pros :
amazing 6.3inch super amoled display(stopped watching movies in laptop)😍
Sd845 (became a pubg pro)😎
Dash charging (no worries about battery capacity)😏
Oxygen OS (pure android experience)😌
Rear camera(u will get a disguise of a professional cameraman status)😅
Builtquality (next to samsung n apple)💪
Cons
No wireless charging (doesnt matter)
No Quad hd display (previously i was a samsung s7 edge user)
Ugly notch (apple made tats y hate it)
The best smartphone of 2018 is definitely ONEPLUS6","['Pros', 'movies', 'laptop', '😍', 'a pubg', '😎\nDash', 'no worries', 'battery capacity', 'pure android experience', '😌', 'Rear camera(u', 'a disguise', 'a professional cameraman status', '💪', 'Cons', 'No wireless charging', 'No Quad hd display', 'i', 'a samsung s7 edge user', 'Ugly notch', 'apple', 'y', 'it', 'The best smartphone']"
169,Good,[]
170,Super,[]
171,Great phone,['Great phone']
172,superb,[]
173,The king it is...,"['The king', 'it']"
174,Very nice phone,['Very nice phone']
175,Very good product,['Very good product']
176,Nice photoes click,[]
177,"Overall it is a good phone, I am new to Oneplus and felt very much satisfied. Camera is awesome and I never felt any lag in any functionality or app. Only problem is battery, if i use camera for clicking pictures it gets discharge in 4-5 hrs. I am not even talking about videos. Even at normal usases battery will last for hardly 7-8 hrs.","['it', 'a good phone', 'I', 'Oneplus', 'Camera', 'I', 'any lag', 'any functionality', 'app', 'Only problem', 'battery', 'i', 'camera', 'pictures', 'it', 'discharge', '4-5 hrs', 'I', 'videos', 'normal usases battery', 'hardly 7-8 hrs']"
178,Good product,['Good product']
179,"It has everything, what you think in your mind about smartphone. Go for it,,,, lovelyyyyy mobile 📱, no heating problem.","['It', 'everything', 'what', 'you', 'your mind', 'smartphone', 'it']"
180,Battery poor quality and camera is poor quality also cost of rs is highly  approximately 25000 to 30000 /8 GB ram 120 gb internal,"['Battery poor quality', 'camera', 'poor quality', 'rs']"
181,Screen resolution and camera quality is very impressive...sound quality is also satisfactory but not very loud and battery life is also good ..it normally lasts for one day...and in terms of speed ....there is no competition.,"['Screen resolution', 'camera quality', 'sound quality', 'battery life', 'it', 'one day', 'terms', 'speed', 'no competition']"
182,"Pretty good phone! Also has headphone jack, which is not present 6T onwards. Hence, I would say, OnePlus6 is the last good phone of OnePlus.","['Pretty good phone', 'headphone jack', 'I', 'OnePlus6', 'the last good phone', 'OnePlus']"
183,"Product is amazing
Worst delivery from Amazon","['Product', 'amazing\nWorst delivery', 'Amazon']"
184,Great product.,['Great product']
185,Battery life rating 5/10,['Battery life']
186,best product,['best product']
187,"Best for display quality,sound and better performance","['display quality', 'performance']"
188,"My review
Working fine with games best in game mode.
Better customize OS not super.
Camera is good.
other function work with excellent.
Pros.
Original Screen Guard not available.
Call recorded audio playing in music app ( Such ridicules).
over weight.","['My review', 'Working', 'games', 'game mode', 'OS', 'Camera', 'Pros', 'Original Screen Guard', 'Call', 'recorded audio playing', 'music app', 'Such ridicules', 'weight']"
189,"Which one is the best amongst the three I.e, 6gb ram with 128 internal memory/8gb ram with 128 internal memory/8 GB RAM with 256 internal memory.....???","['Which one', '128 internal memory/8 GB RAM', '256 internal memory']"
190,Nice product,['Nice product']
191,Simply best phone... Love it,"['Simply best phone', 'it']"
192,Battery of my phone discharge in 10hours only,"['Battery', 'my phone discharge', '10hours']"
193,Im using this phone past from 3months body and display damaged no warranty also it's to sensitive back cover of the phone looks like glass money waste service cost also expensive really wasted my money,"['I', 'this phone', '3months body', 'display', 'no warranty', 'it', 'cover', 'the phone looks', 'glass money waste service cost', 'my money']"
194,I am facing problem with microphone. The other talking with me is hearing echo sounds. That's irritating.,"['I', 'problem', 'microphone', 'me', 'echo sounds']"
195,"Been using it for 3 months now. Has given me great battery life. I am not much of a gamer, but even with decent amount of video viewing it gives me an average of 14-16 hours of battery.
Camera is great. Fast face unlock and smooth transition between different apps.","['it', '3 months', 'me', 'great battery life', 'I', 'a gamer', 'decent amount', 'video', 'it', 'me', 'an average', '14-16 hours', 'battery', 'Camera', 'Fast face', 'unlock and smooth transition', 'different apps']"
196,good & Worth,[]
197,"dont buy this phone ...... today(21/01/19) while charging the mobile i saw small flame from charging point of phone. Instantly i removed the charger and saw that charging cable & mobile charge point got burnt. it may also have resulted bursting if i was not present. purchased from amazon on 12/09/18.
most interesting is that customer care of one plus six not entertaining me.","['this phone', 'today(21/01/19', 'the mobile', 'i', 'small flame', 'point', 'phone', 'i', 'the charger', 'cable & mobile charge point', 'it', 'i', 'amazon', 'me']"
198,Suer,['Suer']
199,Like,[]
200,Good product,['Good product']
201,Worth it,['it']
202,Excellent,[]
203,Awesome,[]
204,Nice,[]
205,"Love this phone. ..  One plus create great product. Good processing, Ram and screen. Baught 8-128 modal of One plus 6 at Amazon sale.","['this phone', 'great product', 'Good processing', 'Ram', 'screen', 'Baught 8-128 modal', 'Amazon sale']"
206,Value for money.,"['Value', 'money']"
207,Very wall,['Very wall']
208,"There is no likes, or dis-likes for this one plus , there is only love b/w us ... 😍😍🥰🥰🥰🥰","['no likes', 'dis-likes', 'only love', 'us', '😍']"
209,Really good,[]
210,Its good,[]
211,Awasome,[]
212,Sexy phone from aspects.,"['Sexy phone', 'aspects']"
213,Nice product,['Nice product']
214,Great device,['Great device']
215,Worth the money. In every aspect its the best.,"['the money', 'every aspect']"
216,Good Phone,['Good Phone']
217,Nothing to dislike,['Nothing']
218,Just great.. value for money..super sonic,"['Just great.. value', 'money', 'super sonic']"
219,"Its really One of the best Mobile available in market and really worth of money.
Gives stylish look and also provide decent battery backup..","['the best Mobile', 'market', 'money', 'stylish look', 'decent battery backup']"
220,"Very good phone. mainly because, no hanging and no heating problem. Speed is excellent. Camera quality not too good, but fine","['Very good phone', 'no hanging', 'no heating problem', 'Speed', 'Camera quality']"
221,Best Phone at present,['Best Phone']
222,Good mobile I don't think battery can lost longer so much for crazy users,"['Good mobile', 'I', 'battery', 'crazy users']"
223,Superb phone  but price alot,"['Superb phone', 'price', 'alot']"
224,Some applications hangs,['Some applications']
225,Camera quality in low light is below average.,"['Camera quality', 'low light']"
226,The phone has more than enough RAM. It charges in 30 minutes flat (0 to 100 percent). The camera is fantastic and it has a great deal of storage available. I got it at a fantastic price on Amazon.,"['The phone', 'enough RAM', 'It', '30 minutes', '(0 to 100 percent', 'The camera', 'it', 'a great deal', 'storage', 'I', 'it', 'a fantastic price', 'Amazon']"
227,It's a good smartphone. Battery life is not very good.,"['It', 'a good smartphone', 'Battery life']"
228,Lovely phone,['Lovely phone']
229,The best I used till now awesome😍 camera sound and battery back up not even a hang till now used for 6 months best of the best,"['I', 'now awesome😍 camera sound', 'battery', 'not even a hang', '6 months']"
230,"This is a great phone, packed with latest processor and gpu. It is very light weight, slim and sturdy. Camera quality is really nice, battery life is also good and sound quality is pretty damn great.","['a great phone', 'latest processor', 'gpu', 'It', 'very light weight', 'Camera quality', 'battery life', 'sound quality']"
231,Battery life,['Battery life']
232,Awsome Phone,['Awsome Phone']
233,The oneplus fam is great with everything!,"['The oneplus fam', 'everything']"
234,Awesome product. Superb Camery quality. Can be easily compared with iphone.,"['Awesome product', 'Superb Camery quality', 'iphone']"
235,Wow the only word..,['Wow the only word']
236,"After about 6 months of usage, I am finally ready to share my experience of using this device. Build quality is totally amazing. Camera is good and the processor (Snapdragon 845) is the best processor available in the market today. As always, Dash Charge technology of OnePlus is supremely fast and can provide a day's worth of charge in just 30 minutes (literally). Battery backup is awesome even if you are a heavy user and does not disappoint you at any point in time. Display quality is also excellent and does it's job perfectly.
In the end, everything about this phone is premium and I am very much satisfied with my purchase.","['about 6 months', 'usage', 'I', 'my experience', 'this device', 'Build quality', 'Camera', 'the processor', 'Snapdragon', 'the best processor', 'the market', 'Dash Charge technology', 'OnePlus', ""a day's worth"", 'charge', 'just 30 minutes', 'Battery backup', 'you', 'a heavy user', 'you', 'any point', 'time', 'Display quality', 'it', 'job', 'the end', 'everything', 'this phone', 'I', 'my purchase']"
237,just one drawback is oneplus 6t came too soon,['just one drawback']
238,After some time camera started malfunctioning.,"['some time', 'camera']"
239,"Amazing speed , super battery backup, camera superb, totally best of the best","['Amazing speed', 'super battery backup', 'camera superb']"
240,Awesome,[]
241,"It's been 3 months since I'm using this... Was about to buy an iPhone, but my better half convinced me otherwise... Love it .. the phone is just amazing... It's got 8gb ram, really fast... It's efficient...I don't regret paying 38k...  Haven't found a single complaint on this...","['It', 'I', 'an iPhone', 'my better half', 'me', 'it', 'the phone', 'It', '8gb ram', 'It', 'I', '38k', 'a single complaint']"
242,"dont know what happened but the camera getting blurry images completely disappointed, & phone calls are pretty bad, mobile internet is very slow. may be i have received a defective phone.","['what', 'the camera', 'blurry images', 'phone calls', 'mobile internet', 'i', 'a defective phone']"
243,Good product,['Good product']
244,Good,[]
245,Good,[]
246,Happy,[]
247,It's great but the price is high,"['It', 'the price']"
248,Video games night camera good,['Video games night camera']
249,"Picture quality good,sound ok but battery life worst..",['battery life']
250,"I bought it at 27k and its a best deal. No complaint. Totally satisfied.
Battery drainage is quick but compansated by dash charge.","['I', 'it', '27k', 'its a best deal', 'No complaint', 'Battery drainage', 'dash charge']"
251,Nice phone.,['Nice phone']
252,One of the best phone i ever seen❤️,"['the best phone', 'i']"
253,"Everything is good except face recognition.
It gets unlocked against anyone's face.","['Everything', 'face recognition', 'It', ""anyone's face""]"
254,"One of the best phone I have used till date. Happy with the deal, got it during Great Indian sale.","['the best phone', 'I', 'date', 'the deal', 'it', 'Great Indian sale']"
255,Battery drains very fast while camera is operated or vdo’s are played,"['Battery', 'camera', '’s']"
256,Good,[]
257,Best smartphone ever,['Best smartphone']
258,One of the most stable hardware heavy phones I've ever used.,"['the most stable hardware heavy phones', 'I']"
259,Nice one,[]
260,My phone,['My phone']
261,Quality quality quality.. value for money for sure,"['Quality quality quality.. value', 'money']"
262,Great phone with awesome rear camera .. but disappointed with it's front camera focusing and battery life ! :/,"['Great phone', 'awesome rear camera', ""it's front camera"", 'battery life']"
